,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
80,Sabaton,Panzer Battalion,5AUmoZjxNGIFbMo35IfLxd,42,0.000611,0.297,309893,0.731,0.0102,9,0.114,-7.332,0,0.0402,158.157,4,0.0969
81,Five Finger Death Punch,A Day In My Life,59q5oLIBZcwawE9wcMyhJ2,48,2.69e-05,0.55,226358,0.971,6.21e-06,2,0.0241,-3.805,1,0.0807,124.991,4,0.236
82,Rush,Limelight,0K6yUnIKNsFtfIpTgGtcHm,66,0.00197,0.581,259840,0.854,0.0013,1,0.111,-8.485,0,0.0428,131.18,4,0.788
83,Evans Blue,This Time It's Different,7079nY1EuvdfIxaMYaTjR9,58,0.000934,0.32,209092,0.864,0.0488,5,0.37,-4.882,0,0.0549,109.54,5,0.277
84,Foo Fighters,Something from Nothing,6REiraH7Pe3akd0mkFA4l9,61,0.000124,0.228,288453,0.856,5.66e-05,2,0.285,-5.296,1,0.0541,186.969,4,0.427
85,Metallica,Moth Into Flame,3JjZq20Kv6UphyyirAaY9A,58,3.64e-05,0.163,350644,0.977,0.0052,4,0.0555,-3.585,0,0.0591,178.44,4,0.369
86,Dream Theater,Room 137,5ALscmg72ZgG4TegxbtLqi,57,9.43e-06,0.242,263587,0.942,0.0583,7,0.0794,-5.017,1,0.203,137.018,1,0.321
87,Finntroll,Trollhammaren,4VCorAVM6wDkBp5MTZkV3A,50,1.78e-06,0.43,208680,0.934,0.502,0,0.355,-6.107,1,0.0862,94.99,4,0.449
88,Ensiferum,In My Sword I Trust,2jvhoUj6rTyQHZ0XrVR7dv,41,5.27e-05,0.276,320427,0.993,0.0136,11,0.0984,-4.824,0,0.128,104.77,3,0.13
89,Ozzy Osbourne,Crazy Train,61nSbxyL6VRPp32AMscxiF,60,0.0187,0.465,289467,0.903,0.00114,9,0.348,-4.628,1,0.0587,137.272,4,0.601
90,Red Hot Chili Peppers,Soul To Squeeze,3arKRnq9OUd7yq6LRwVW8I,67,0.0322,0.663,289533,0.546,0.000572,5,0.107,-5.234,1,0.0269,88.171,4,0.656
91,Lamb of God,Walk with Me In Hell,6vjvewW34Y3UiGQtJokGlY,60,3.39e-05,0.286,311507,0.982,0.00675,0,0.309,-3.828,0,0.131,110.629,4,0.118
92,Volbeat,A New Day,68o027FhwwQ21fzz9mTRxD,41,0.000612,0.398,246680,0.72,1.32e-05,0,0.077,-4.604,0,0.0619,83.038,4,0.64
93,Linkin Park,Hands Held High,0m7mTaFGMiKI3rBJpYknip,57,0.324,0.565,233133,0.603,4.87e-05,9,0.195,-8.597,1,0.0329,104.0,4,0.132
94,Linkin Park,BURN IT DOWN,7oVEtyuv9NBmnytsCIsY5I,74,0.0143,0.585,230253,0.972,0.0,9,0.0707,-4.45,0,0.0534,110.006,4,0.585
95,Hollywood Undead,Cashed Out,2kGuCPhjrJUtTO8pwqHVCW,56,0.00179,0.622,209371,0.934,0.00464,6,0.349,-4.132,1,0.0521,150.027,4,0.677
96,Sabaton,Winged Hussars,3XmrptxAPr4ZNtf6aFAEpq,48,0.00612,0.538,233647,0.927,0.000192,6,0.27,-4.545,0,0.0309,92.002,4,0.699
97,Marilyn Manson,Tattooed In Reverse,4rDhFl2ghUScuW8rUR4Bi2,57,0.000777,0.486,264453,0.68,2.25e-05,2,0.316,-5.83,1,0.0371,68.511,4,0.339
98,Fuel,Shimmer - Single Version,6DzbmjkVZpz1mrDobAoJI8,66,0.00192,0.263,214040,0.784,0.0,7,0.15,-6.514,1,0.054,114.671,4,0.385
