,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2370,Why Don't We,Trust Fund Baby,54j7EaJPDmSZYcNYvLSJ78,74,0.0629,0.624,184460,0.785,0.0,8,0.135,-3.337,1,0.0498,163.929,4,0.593
2371,Lil Mosey,Boof Pack,7wExAu2KtrNx2KKwsv5EUx,72,0.0975,0.693,135000,0.576,0.0,0,0.207,-6.955,1,0.0868,159.978,4,0.691
2372,benny blanco,Eastside (with Halsey & Khalid) - Acoustic,5iQ0Va8Dt5Yky4TXuqO5TF,67,0.711,0.689,173005,0.491,0.0,9,0.172,-6.042,1,0.0317,90.011,4,0.868
2373,Baby Bino,Pinocchio,3Odme4YMDQAiRCNJ0ha748,32,0.675,0.935,123810,0.472,0.0,1,0.0939,-7.004,1,0.292,126.162,4,0.63
2374,Panic! At The Disco,King Of The Clouds,50Hv5NZIM0puIUoBttjpfb,72,0.237,0.285,160747,0.922,0.0,2,0.159,-1.932,0,0.247,198.063,3,0.472
2375,Bad Bunny,La Romana,1khmgu0pveJbkbpbkyvcQv,83,0.0327,0.655,300579,0.725,0.00264,0,0.0611,-5.497,1,0.188,125.8,4,0.326
2376,Mokita,When I See You,1Xy2tuw1Z2RvFiJEI538DT,64,0.46,0.649,203843,0.568,0.0,10,0.0933,-10.051,1,0.0496,116.793,4,0.325
2377,Elise Magnefold,Heavenly,1uSaD0JKNb5o8Wv29zULwf,72,0.957,0.209,179015,0.0692,0.868,2,0.115,-23.987,0,0.046,68.543,3,0.0695
2378,Wynn,All the Same,6r8sLATDL9inopeW5ZeV9v,59,0.0231,0.893,205313,0.517,0.0,6,0.117,-7.141,1,0.113,128.019,4,0.707
2379,BTS,Anpanman,4lRwa7PKcGIuJMwtPIYKdy,71,0.0237,0.813,232966,0.875,0.0,1,0.288,-2.92,0,0.0918,99.004,4,0.756
2380,KREAM,Deep End (feat. JHart) - Eden Prince Remix,3K4ywyPCdpF9evoL7Z3z1b,72,0.0154,0.677,208096,0.848,0.00111,7,0.277,-6.14,0,0.0741,125.068,4,0.469
2381,Jorja Smith,Don't Watch Me Cry,202lm9YX5WmAac83tOGlVn,70,0.887,0.559,190430,0.157,0.0,1,0.107,-10.132,1,0.0414,130.877,4,0.348
2382,Tape Machines,3D Print,6QdW0Pfp4cb8jUp5zfKqs0,41,0.802,0.384,229169,0.493,0.0,8,0.0805,-5.417,1,0.0334,85.709,4,0.375
2383,Masego,Tadow,51rPRW8NjxZoWPPjnRGzHw,77,0.669,0.704,301893,0.487,8.64e-05,9,0.111,-6.407,0,0.0604,121.726,4,0.313
2384,Marshmello,Stars,6GRMKQ3RrivYgLEO6h7ebu,72,0.0132,0.507,246761,0.96,0.971,8,0.0703,-2.619,1,0.0394,142.029,4,0.801
2385,Troye Sivan,My My My! - Acoustic,4SQG8VU2qmbvgb53ptyjz9,60,0.922,0.539,223107,0.298,2.99e-05,1,0.0974,-5.915,1,0.0377,126.679,3,0.274
2386,GNAR,GRAVE,3RY7CodgwaPkQHi4tlzylK,65,0.322,0.702,160000,0.667,0.0,10,0.105,-8.161,0,0.276,157.834,4,0.802
2387,Oliver Tree,Hurt,1Xls3QHvOQ7YLB54R6BvgG,76,0.0209,0.561,145558,0.782,0.0,0,0.315,-5.863,1,0.04,94.004,4,0.486
2388,Jonas Blue,Perfect Strangers,3nhmni2lW0t0eVBXEQAAyF,77,0.39,0.73,196613,0.861,0.0,1,0.213,-4.1,1,0.0451,117.965,4,0.704
2389,Grace Carter,Silhouette,1l2qSKdfHvfqgm3QcKpvFT,62,0.935,0.73,223507,0.164,0.0,6,0.124,-5.978,0,0.0294,94.947,4,0.305
2390,Joakim Molitor,Back to You,6iKSX395g0qbc8aABzaaf2,53,0.119,0.634,176000,0.846,3.43e-05,8,0.0869,-4.962,1,0.0419,123.03,4,0.652
2391,Johny Cola,Boldmongol,1RH8jjt0NTW9PgxBVTorUU,43,0.0171,0.752,209577,0.892,0.000271,10,0.0795,-6.703,0,0.125,142.005,4,0.32
2392,Uffe Holm,Englebarn (Hollys Jul) feat. Holly,3yMOFGAqQmeYLcEXqFlRdh,33,0.108,0.737,188641,0.613,0.0,7,0.66,-6.004,1,0.173,91.023,4,0.352
2393,Sabrina Claudio,Cross Your Mind,1L0vIfsP5YzIrPc9sByRgI,62,0.0366,0.765,218040,0.614,0.000269,10,0.0639,-6.556,0,0.0888,97.973,4,0.552
2394,Celina,Maskebal,7MCMdI90pcAWXaR3JIjwgV,36,0.0457,0.735,181560,0.584,1.13e-05,9,0.203,-8.279,0,0.057,115.999,4,0.352
2395,SAVEUS,Erase My Mind,3xJtZl4ZanAFDbJsaaYUmn,35,0.0644,0.49,254022,0.65,0.119,1,0.109,-7.512,1,0.052,172.019,4,0.376
2396,Gregory Alan Isakov,San Luis,7gDNQLV9cr8449LFrQbk5J,69,0.86,0.567,272347,0.434,0.257,7,0.115,-12.755,0,0.0349,82.459,4,0.254
2397,Felix Jaehn,Hot2Touch,0m6M0TRGs7dOqZAryYcwiH,69,0.000842,0.755,160826,0.718,2.98e-05,1,0.325,-5.325,0,0.0411,121.944,4,0.838
2398,Nipsey Hussle,Hussle & Motivate,2hVtGnJeHOo0EqjzYXNFg5,74,0.00369,0.836,258520,0.779,0.000173,7,0.58,-3.829,1,0.0519,119.908,4,0.555
